0.04	1.88601E-01	2.16013E-01	4.18094E-01	2.32230E+00	2.28822E+00	2.21886E+00
0.025	6.33164E-02	7.36900E-02	1.47353E-01	2.26963E+00	2.18222E+00	1.95920E+00
0.02	3.81563E-02	4.52824E-02	9.51684E-02	2.12469E+00	2.15485E+00	1.97314E+00
0.016667	2.59029E-02	3.05720E-02	6.64163E-02	2.21555E+00	2.13671E+00	1.98207E+00
0.013333	1.57978E-02	1.89764E-02	4.26730E-02	2.16035E+00	2.11281E+00	1.98936E+00
0.01	8.48610E-03	1.03339E-02	2.40783E-02	2.05051E+00	2.03781E+00	1.99632E+00
0.006667	3.69553E-03	4.52344E-03	1.07185E-02	1.78121E+00	1.84952E+00	1.99759E+00
0.005	2.21358E-03	2.65676E-03	6.03274E-03	1.34001E+00	1.51746E+00	1.99904E+00
0.003333	1.28550E-03	1.43574E-03	2.68173E-03	1.15502E+00	1.11807E+00	1.05848E+00
0.002	7.12661E-04	8.11115E-04	1.56185E-03	1.03163E+00	9.29379E-01	8.17399E-01
0.001333	4.68933E-04	5.56322E-04	1.12102E-03	1.01059E+00	9.40959E-01	9.00601E-01
0.001	3.50718E-04	4.24489E-04	8.65348E-04	9.42237E-01	9.03085E-01	8.98769E-01
0.000833	2.95248E-04	3.59917E-04	7.34292E-04			
		
