x tf ts
  4.8828125000000000E-04  8.7285027948536117E+02  6.9592542272673336E+02
  1.4648437500000000E-03  8.7255016668626888E+02  6.9533312643975296E+02
  2.4414062500000000E-03  8.7224915871384678E+02  6.9474061051325930E+02
  3.4179687500000000E-03  8.7194725619659914E+02  6.9414787712946043E+02
  4.3945312500000000E-03  8.7164445976832894E+02  6.9355492847402979E+02
  5.3710937500000000E-03  8.7134077006811594E+02  6.9296176672928698E+02
  6.3476562500000000E-03  8.7103618774025324E+02  6.9236839410278708E+02
  7.3242187500000000E-03  8.7073071343432196E+02  6.9177481279122753E+02
  8.3007812500000000E-03  8.7042434780515771E+02  6.9118102499223255E+02
  9.2773437500000000E-03  8.7011709151284106E+02  6.9058703290501103E+02
  1.0253906250000000E-02  8.6980894522269364E+02  6.8999283872944761E+02
  1.1230468750000000E-02  8.6949990960532853E+02  6.8939844465690135E+02
  1.2207031250000000E-02  8.6918998533649278E+02  6.8880385289613514E+02
  1.3183593750000000E-02  8.6887917309729721E+02  6.8820906563466019E+02
  1.4160156250000000E-02  8.6856747357375377E+02  6.8761408509080047E+02
  1.5136718750000000E-02  8.6825488745735163E+02  6.8701891345725790E+02
  1.6113281250000000E-02  8.6794141544490435E+02  6.8642355292677735E+02
  1.7089843750000000E-02  8.6762705823829356E+02  6.8582800570002860E+02
  1.8066406250000000E-02  8.6731181654454724E+02  6.8523227398028507E+02
  1.9042968750000000E-02  8.6699569107605635E+02  6.8463635995968252E+02
  2.0019531250000000E-02  8.6667868255019789E+02  6.8404026584370297E+02
  2.0996093750000000E-02  8.6636079168970025E+02  6.8344399382523488E+02
  2.1972656250000000E-02  8.6604201922235166E+02  6.8284754610942696E+02
  2.2949218750000000E-02  8.6572236588119677E+02  6.8225092489277517E+02
  2.3925781250000000E-02  8.6540183240442025E+02  6.8165413237307791E+02
  2.4902343750000000E-02  8.6508041953530335E+02  6.8105717075534722E+02
  2.5878906250000000E-02  8.6475812802239761E+02  6.8046004223223485E+02
  2.6855468750000000E-02  8.6443495861939289E+02  6.7986274900286116E+02
  2.7832031250000000E-02  8.6411091208501853E+02  6.7926529326885122E+02
  2.8808593750000000E-02  8.6378598918313025E+02  6.7866767723382952E+02
  2.9785156250000000E-02  8.6346019068292389E+02  6.7806990308734839E+02
  3.0761718750000000E-02  8.6313351735856531E+02  6.7747197303067799E+02
  3.1738281250000000E-02  8.6280596998932265E+02  6.7687388926382312E+02
  3.2714843750000000E-02  8.6247754935957107E+02  6.7627565398769070E+02
  3.3691406250000000E-02  8.6214825625892809E+02  6.7567726939524596E+02
  3.4667968750000000E-02  8.6181809148198295E+02  6.7507873768767070E+02
  3.5644531250000000E-02  8.6148705582841160E+02  6.7448006106286721E+02
  3.6621093750000000E-02  8.6115515010317813E+02  6.7388124171383231E+02
  3.7597656250000000E-02  8.6082237511608253E+02  6.7328228184142381E+02
  3.8574218750000000E-02  8.6048873168211389E+02  6.7268318364222159E+02
  3.9550781250000000E-02  8.6015422062131370E+02  6.7208394931317753E+02
  4.0527343750000000E-02  8.5981884275867753E+02  6.7148458105586246E+02
  4.1503906250000000E-02  8.5948259892459544E+02  6.7088508105665994E+02
  4.2480468750000000E-02  8.5914548995418374E+02  6.7028545151620710E+02
  4.3457031250000000E-02  8.5880751668776031E+02  6.6968569462851781E+02
  4.4433593750000000E-02  8.5846867997058075E+02  6.6908581259042535E+02
